months_as_customer,age,policy_state,policy_csl,policy_deductable,policy_annual_premium,umbrella_limit,insured_sex,insured_education_level,insured_occupation,insured_hobbies,insured_relationship,capital-gains,capital-loss,incident_type,collision_type,incident_severity,authorities_contacted,incident_state,incident_city,incident_hour_of_the_day,number_of_vehicles_involved,property_damage,bodily_injuries,witnesses,police_report_available,total_claim_amount,injury_claim,property_claim,vehicle_claim,auto_make,auto_model,auto_year,fraud_reported,injury_claim_ratio,property_claim_ratio,vehicle_claim_ratio,net_capital,high_claim_flag
235,42,2,0,500,1253.12,4000000,0,5,3,7,2,38400,0,2,0,2,3,1,3,22,1,1,2,2,0,87010,7910,15820,63280,5,14,2002,0,0.09090804610911264,0.18181609221822528,0.7272643688729011,38400,1
447,61,2,0,2000,1137.16,0,0,2,3,16,2,0,-51000,0,0,0,1,4,6,21,3,1,1,2,1,114920,17680,17680,79560,1,4,2006,0,0.15384481513387457,0.15384481513387457,0.6923016681024355,-51000,1
60,23,2,2,500,1215.36,3000000,1,4,10,15,5,0,0,2,1,2,0,4,3,9,1,1,1,0,0,56520,4710,9420,42390,10,3,2000,0,0.08333185895507865,0.1666637179101573,0.7499867305957078,0,0
121,34,2,0,1000,936.61,0,0,4,1,3,5,52800,-32800,1,1,1,3,4,6,5,1,0,1,1,0,7280,1120,1120,5040,12,18,2010,0,0.15382502403516002,0.15382502403516002,0.69221260815822,20000,0
180,38,2,1,2000,1301.13,0,0,1,6,2,1,41300,-55500,2,1,2,3,4,6,12,1,0,0,2,1,46200,4200,8400,33600,4,27,2003,1,0.09090712322244107,0.18181424644488214,0.7272569857795286,-14200,0
473,58,1,0,2000,1131.4,0,0,4,13,12,2,55700,0,0,2,0,2,6,2,12,4,1,0,0,0,63120,10520,10520,42080,0,23,1999,1,0.1666640262353258,0.1666640262353258,0.6666561049413032,55700,0
70,26,2,2,1000,1199.44,5000000,1,1,6,10,3,63600,0,0,1,0,2,1,5,0,3,0,1,2,1,52110,5790,5790,40530,9,26,2012,0,0.11110897891040279,0.11110897891040279,0.7777628523728196,63600,0
140,31,1,2,500,708.64,6000000,1,2,6,15,4,53500,0,2,2,2,3,6,3,9,1,0,0,2,1,77880,14160,7080,56640,11,21,2015,0,0.18181584725414415,0.09090792362707208,0.7272633890165766,53500,1
160,37,2,2,500,1374.22,0,0,4,2,19,2,45500,-37800,2,2,2,2,1,4,19,1,1,1,0,0,72930,6630,13260,53040,0,33,2015,0,0.09090784440087206,0.18181568880174412,0.7272627552069765,7700,1
196,39,1,2,2000,1475.73,0,0,2,5,4,3,57000,-27300,0,2,0,3,5,1,8,3,0,2,0,0,60400,6040,6040,48320,9,29,2014,0,0.09999834439827156,0.09999834439827156,0.7999867551861725,29700,0
460,62,1,1,1000,1187.96,4000000,1,3,7,3,3,0,0,0,1,1,3,1,1,20,3,0,1,0,0,47160,0,5240,41920,11,19,2011,0,0.0,0.11110875511545557,0.8888700409236445,0,0
217,41,0,2,2000,875.15,0,0,0,6,16,3,46700,0,0,2,2,3,4,0,15,3,0,1,2,0,37840,0,4730,33110,0,31,1996,0,0.0,0.12499669670463254,0.8749768769324278,46700,0
370,55,0,0,2000,972.18,0,1,2,9,13,2,72700,-68200,0,1,0,0,4,2,20,3,0,0,0,1,71520,17880,5960,47680,11,15,2000,1,0.24999650452314703,0.08333216817438235,0.6666573453950588,4500,1
413,55,1,0,2000,1268.79,0,1,4,8,5,3,0,-31000,2,0,2,0,6,3,15,1,0,2,2,0,98160,8180,16360,73620,4,30,2011,1,0.08333248438789335,0.1666649687757867,0.7499923594910403,-31000,1
237,40,1,0,1000,883.31,0,1,1,2,11,0,0,-53500,2,1,1,2,5,5,6,1,0,1,3,0,77880,7080,14160,56640,5,13,2005,0,0.09090792362707208,0.18181584725414415,0.7272633890165766,-53500,1
8,35,2,0,2000,1266.92,0,1,5,11,14,3,0,0,0,1,0,2,2,0,16,3,0,1,3,1,71500,16500,11000,44000,5,13,2006,1,0.2307660032726815,0.15384400218178768,0.6153760087271507,0,1
257,43,1,0,2000,1322.1,0,1,2,9,9,3,0,-29200,1,1,1,3,3,0,4,1,1,1,3,1,9020,1640,820,6560,12,9,2005,0,0.1817980268262942,0.0908990134131471,0.7271921073051768,-29200,0
202,34,1,0,500,848.07,3000000,1,3,3,5,1,31000,-30200,3,1,1,3,5,4,5,1,1,2,1,0,5720,1040,520,4160,11,15,2003,1,0.18178640097884985,0.09089320048942492,0.7271456039153994,800,0
224,40,2,0,2000,1291.7,0,0,3,11,11,1,0,-55600,2,2,1,2,4,3,21,1,0,1,0,1,69840,7760,15520,46560,4,27,2009,0,0.11110952019587349,0.22221904039174697,0.6666571211752409,-55600,0
241,45,0,2,2000,1104.5,0,0,6,6,1,4,0,0,2,1,1,3,4,4,5,1,0,2,2,0,91650,14100,14100,63450,0,33,2011,0,0.15384447523758607,0.15384447523758607,0.6923001385691373,0,1
64,25,0,1,1000,954.16,0,1,5,9,18,0,53200,0,0,2,0,0,4,1,22,4,0,0,0,0,75600,12600,12600,50400,12,11,2005,0,0.16666446211028954,0.16666446211028954,0.6666578484411582,53200,1
166,37,0,0,2000,1337.28,8000000,1,3,2,15,0,27500,0,0,2,0,3,6,5,10,3,0,2,2,0,67140,7460,7460,52220,5,14,2006,1,0.1111094562190018,0.1111094562190018,0.7777661935330126,27500,0
155,35,0,2,1000,1088.34,0,0,0,0,19,2,81100,0,0,0,2,3,1,0,16,3,1,2,3,0,29790,3310,3310,23170,2,0,2008,0,0.11110738142391997,0.11110738142391997,0.7777516699674398,81100,0
114,30,0,0,1000,1558.29,0,1,2,4,18,5,51400,-64000,0,0,0,0,1,2,1,3,0,1,2,0,77110,14020,14020,49070,11,19,2015,0,0.18181582394210943,0.18181582394210943,0.636355383797383,-12600,1
149,37,0,2,500,1415.68,0,1,6,9,19,3,0,0,2,2,2,1,6,2,17,1,1,0,1,1,64800,10800,5400,48600,1,4,1999,0,0.16666409468989676,0.08333204734494838,0.7499884261045354,0,0
147,33,2,0,1000,1334.15,6000000,1,2,2,15,1,53300,-49200,2,0,0,2,6,6,15,1,1,2,0,1,53100,10620,5310,37170,8,7,1995,1,0.1999962335925877,0.09999811679629385,0.699986817574057,4100,0
62,28,0,0,1000,988.45,0,0,5,10,4,4,0,0,2,1,2,3,1,4,3,1,0,1,1,1,60200,6020,6020,48160,11,15,2004,1,0.09999833889802495,0.09999833889802495,0.7999867111841996,0,0
289,49,0,2,2000,1222.48,0,0,3,8,9,4,0,0,1,1,1,3,6,0,16,1,0,1,1,1,5330,1230,820,3280,11,21,2001,0,0.23072594259988746,0.15381729506659164,0.6152691802663666,0,0
431,54,1,2,2000,1155.55,0,0,4,2,3,4,65700,0,0,1,0,3,1,2,4,3,0,2,0,0,62300,12460,6230,43610,7,36,2007,0,0.19999678977865523,0.09999839488932762,0.6999887642252933,65700,0
199,37,1,1,500,1262.08,0,1,3,12,18,5,48500,0,2,0,0,0,0,1,4,1,0,0,3,0,60170,10940,10940,38290,9,29,2011,1,0.18181516012697146,0.18181516012697146,0.6363530604444001,48500,0
79,26,0,0,500,1451.62,0,1,0,12,11,1,0,-55700,2,1,1,0,6,1,19,1,0,2,2,0,40000,8000,4000,28000,2,22,2010,0,0.19999500012499688,0.09999750006249844,0.6999825004374891,-55700,0
116,34,1,1,500,1737.66,0,1,0,13,5,4,0,-24100,2,2,0,3,6,4,1,1,0,1,1,0,97080,16180,16180,64720,2,37,2001,1,0.1666649498872076,0.1666649498872076,0.6666597995488304,-24100,1
37,23,0,2,500,1475.93,0,0,1,9,10,0,0,-67400,0,2,1,2,4,6,17,3,1,1,0,0,51660,5740,5740,40180,4,30,2010,0,0.11110896033758541,0.11110896033758541,0.7777627223630978,-67400,0
106,30,2,1,500,538.17,0,0,6,13,15,3,49700,-60200,2,1,2,2,0,0,23,1,0,2,2,0,51120,5680,5680,39760,8,12,2005,0,0.11110893761859118,0.11110893761859118,0.7777625633301383,-10500,0
269,44,0,0,2000,1081.08,0,1,3,8,15,4,36400,-28700,2,0,1,2,4,6,14,1,1,0,2,0,56400,11280,11280,33840,12,18,2014,0,0.1999964539635822,0.1999964539635822,0.5999893618907466,7700,0
265,40,0,1,1000,1454.43,0,0,4,10,19,0,0,0,0,1,2,2,1,0,17,3,0,2,3,0,55120,6890,0,48230,0,23,2002,0,0.12499773226175143,0.0,0.8749841258322599,0,0
163,33,1,0,500,1240.47,0,0,0,7,14,0,35300,0,0,1,2,1,0,3,11,3,1,1,1,0,77110,0,14020,63090,6,10,2014,0,0.0,0.18181582394210943,0.8181712077394924,35300,1
355,47,2,2,2000,1273.7,4000000,1,1,7,11,0,0,0,0,0,0,1,6,0,19,3,0,2,1,0,62800,6280,6280,50240,1,4,2003,1,0.0999984076686677,0.0999984076686677,0.7999872613493416,0,0
175,34,1,2,1000,1123.87,8000000,0,6,10,7,2,0,0,3,1,3,3,1,0,5,1,0,2,0,1,7290,810,810,5670,13,28,1995,0,0.11109587162254835,0.11109587162254835,0.7776711013578385,0,0
192,35,0,0,1000,1245.89,0,0,5,3,12,5,0,-40300,2,1,2,2,6,6,19,1,0,0,0,0,76600,15320,7660,53620,8,7,2000,0,0.19999738906802783,0.09999869453401392,0.6999908617380974,-40300,1
430,59,2,1,2000,1326.62,7000000,1,4,7,3,3,0,0,0,0,1,1,1,5,19,3,0,0,3,1,81800,16360,8180,57260,9,29,1998,0,0.1999975550421144,0.0999987775210572,0.6999914426474004,0,1
91,27,0,0,2000,1073.83,0,0,3,4,14,0,0,0,3,1,3,3,1,0,4,1,0,1,2,0,7260,1320,660,5280,2,22,2008,0,0.18179314144057293,0.09089657072028647,0.7271725657622917,0,0
217,39,1,0,1000,1530.52,0,1,1,1,1,1,0,0,3,1,1,3,6,3,8,1,0,2,1,1,4300,430,430,3440,12,11,2000,0,0.09997674959311788,0.09997674959311788,0.799813996744943,0,0
223,40,1,0,500,1201.41,0,0,3,8,12,0,88400,-46500,0,2,0,3,0,1,7,3,1,1,0,0,70510,12820,12820,44870,11,15,1999,0,0.1818156032392109,0.1818156032392109,0.6363546113372381,41900,0
195,39,2,1,1000,1393.57,0,1,6,6,12,1,47600,-39600,1,1,1,3,5,3,5,1,0,0,1,1,2640,480,480,1680,5,14,2009,0,0.1817493373722075,0.1817493373722075,0.6361226808027263,8000,0
22,26,2,0,1000,1276.57,0,1,6,2,16,1,71500,0,2,1,1,1,1,0,3,1,1,1,2,0,78900,15780,7890,55230,3,32,1995,0,0.19999746517788114,0.09999873258894057,0.699991128122584,71500,1
439,56,1,1,500,1082.49,0,0,6,9,5,4,36100,-55000,0,0,0,1,4,1,12,3,0,2,3,0,56430,0,6270,50160,6,8,2014,0,0.0,0.11110914213818646,0.8888731371054917,-18900,0
94,32,1,2,1000,1414.74,0,0,5,0,10,3,0,0,1,1,1,3,5,5,19,1,0,1,3,0,2400,300,300,1800,3,32,2014,0,0.12494793835901707,0.12494793835901707,0.7496876301541024,0,0
11,39,0,1,2000,1470.06,0,1,6,7,19,0,56600,-45800,2,0,2,0,6,5,22,1,1,0,1,0,65790,7310,7310,51170,10,2,2007,0,0.11110942226140354,0.11110942226140354,0.7777659558298248,10800,0
151,36,2,1,2000,870.63,0,0,4,0,11,3,94800,-58500,0,2,1,3,5,2,12,3,0,1,1,0,62920,11440,5720,45760,5,13,2000,0,0.18181529219179607,0.09090764609589803,0.7272611687671843,36300,0
154,34,1,0,500,795.23,0,1,6,6,0,2,36900,0,0,1,0,3,1,6,15,3,1,2,1,0,69480,15440,0,54040,9,26,2014,1,0.22221902390581597,0.0,0.7777665836703559,36900,0
245,44,0,2,1000,1168.2,0,1,3,5,1,0,69100,0,0,2,2,2,2,6,23,3,0,0,3,0,44280,7380,3690,33210,6,6,1997,0,0.16666290282513946,0.08333145141256973,0.7499830627131275,69100,0
119,32,0,2,1000,993.51,0,1,2,1,3,4,0,-49500,2,2,1,2,6,2,12,1,0,0,3,1,56300,5630,11260,39410,2,22,2011,0,0.09999822383261399,0.19999644766522798,0.6999875668282979,-49500,0
215,42,2,2,500,1848.81,0,1,3,13,18,3,0,-49000,0,0,0,1,6,3,20,3,1,2,2,1,68520,11420,5710,51390,11,21,2003,1,0.16666423432232455,0.08333211716116228,0.7499890544504605,-49000,0
295,42,2,1,2000,1641.73,5000000,1,6,11,5,1,62400,0,0,1,2,1,5,5,16,3,0,0,0,0,59130,6570,6570,45990,5,13,2006,1,0.11110923204410546,0.11110923204410546,0.7777646243087383,62400,0
254,39,1,0,500,1362.87,0,0,4,3,5,2,35700,0,0,0,1,0,1,0,6,3,1,2,2,0,82320,13720,6860,61740,4,27,1995,1,0.1666646420718893,0.08333232103594465,0.7499908893235019,35700,1
107,31,1,1,500,1239.22,7000000,0,2,12,13,1,43400,-91200,2,2,1,1,4,6,12,1,1,0,1,0,89700,13800,13800,62100,1,5,2009,1,0.15384443874650228,0.15384443874650228,0.6922999743592602,-47800,1
478,64,2,1,500,835.02,0,0,0,0,15,4,59600,0,0,2,1,1,6,2,17,3,0,1,1,0,33930,0,3770,30160,2,38,1998,0,0.0,0.11110783649170375,0.88886269193363,59600,0
128,30,2,0,1000,1061.33,0,1,4,6,12,3,43300,-66200,2,0,0,0,6,4,8,1,0,0,3,0,68530,12460,6230,49840,1,5,1997,0,0.18181552873881893,0.09090776436940946,0.7272621149552757,-22900,0
338,49,1,2,1000,1279.08,0,1,4,7,11,3,0,-51500,1,1,1,3,0,5,13,1,0,0,1,0,4300,860,860,2580,5,14,2004,0,0.19995349918623576,0.19995349918623576,0.5998604975587073,-51500,0
271,42,2,0,500,1105.49,0,0,0,9,17,3,56200,-50000,0,2,0,2,4,2,12,2,0,2,3,0,68310,12420,6210,49680,1,4,2003,1,0.181815520194405,0.0909077600972025,0.72726208077762,6200,0
222,41,2,0,2000,1055.53,0,0,4,1,6,1,37800,-50300,2,0,2,2,6,4,7,1,0,0,2,0,61290,6810,6810,47670,6,10,1995,1,0.11110929826565075,0.11110929826565075,0.7777650878595552,-12500,0
199,41,2,1,1000,895.83,0,0,0,11,13,0,0,0,2,1,1,0,0,0,10,1,0,1,2,0,30100,3010,0,27090,3,25,1999,0,0.09999667785123417,0.0,0.8999701006611076,0,0
215,37,1,0,500,1632.93,0,0,1,13,9,1,0,-42900,0,1,1,1,4,5,7,3,0,2,0,1,57120,9520,4760,42840,8,7,2002,0,0.1666637488839481,0.08333187444197405,0.7499868699777665,-42900,0
192,40,0,0,1000,1405.99,0,0,0,11,19,5,0,0,0,2,1,0,5,6,18,3,1,1,0,1,42930,9540,4770,28620,2,38,2005,0,0.22221704595746664,0.11110852297873332,0.6666511378723999,0,0
120,35,2,0,1000,1425.54,0,0,2,13,3,2,78300,0,0,0,2,0,4,5,22,3,0,2,0,0,51210,11380,5690,34140,5,16,2010,0,0.2222178828767257,0.11110894143836285,0.6666536486301771,78300,0
270,45,2,2,1000,1038.09,0,0,1,5,9,0,0,-19700,0,0,1,1,1,6,18,3,0,1,1,1,89400,14900,7450,67050,11,21,1998,0,0.1666648024071319,0.08333240120356596,0.7499916108320936,-19700,1
319,47,1,1,500,1307.11,0,1,1,13,7,1,0,0,0,0,2,3,6,4,22,3,0,0,2,0,59730,10860,10860,38010,1,4,2005,0,0.18181513786810868,0.18181513786810868,0.6363529825383804,0,0
194,39,2,2,1000,1489.24,6000000,0,3,7,11,5,0,-45000,3,1,1,3,4,6,15,1,1,2,2,1,8060,1240,1240,5580,10,3,2004,0,0.15382706860191042,0.15382706860191042,0.692221808708597,-45000,0
227,38,2,2,500,976.67,0,0,6,5,14,4,0,0,2,1,0,1,4,4,16,1,0,1,2,0,72200,14440,7220,50540,2,22,2013,1,0.19999722995526378,0.09999861497763189,0.6999903048434232,0,1
137,31,2,1,2000,1340.43,0,1,2,3,13,0,52700,-40600,0,2,1,0,0,0,6,3,0,1,2,0,50800,10160,10160,30480,0,23,2005,0,0.1999960630696246,0.1999960630696246,0.5999881892088739,12100,0
244,40,2,2,2000,1267.81,5000000,0,5,3,18,5,0,0,3,1,3,3,0,4,10,1,0,2,1,0,6600,660,1320,4620,0,33,2005,0,0.09998485078018482,0.19996970156036964,0.6998939554612937,0,0
78,29,0,1,1000,1234.2,6000000,1,5,7,3,2,0,0,3,1,1,3,1,4,3,1,1,2,2,0,7500,750,1500,5250,9,26,2002,0,0.09998666844420744,0.19997333688841487,0.699906679109452,0,0
200,35,1,1,2000,1318.06,0,1,2,3,18,5,57300,-80600,3,1,3,3,5,2,13,1,0,0,3,1,6490,1180,1180,4130,13,20,2002,0,0.1817901710060083,0.1817901710060083,0.6362655985210292,-23300,0
284,48,1,2,2000,769.95,0,1,5,9,12,1,0,-44200,0,2,0,0,1,2,16,2,0,2,3,0,60940,5540,11080,44320,1,4,2013,1,0.0909075991532794,0.1818151983065588,0.7272607932262352,-44200,0
275,41,2,0,2000,1514.72,0,1,2,13,2,3,35700,0,0,0,0,1,1,4,13,3,1,0,1,0,58300,5830,11660,40810,11,21,2007,0,0.09999828476355466,0.1999965695271093,0.6999879933448826,35700,0
153,34,0,2,1000,873.64,4000000,0,0,8,19,0,800,0,0,0,1,2,4,1,9,3,0,2,1,0,68400,11400,11400,45600,5,14,2007,0,0.16666423005511616,0.16666423005511616,0.6666569202204646,800,0
134,32,0,2,500,1612.43,0,0,4,7,19,3,36400,0,2,2,2,1,5,6,2,1,0,2,1,1,64240,11680,11680,40880,2,0,2015,0,0.18181535156675643,0.18181535156675643,0.6363537304836475,36400,0
31,36,0,2,2000,1318.24,9000000,0,1,9,11,1,0,-78600,1,1,3,3,6,0,9,1,0,0,1,1,4700,940,470,3290,4,27,2002,0,0.1999574558604552,0.0999787279302276,0.6998510955115933,-78600,0
41,25,1,0,1000,1226.83,0,0,1,3,8,1,0,-56100,0,2,0,2,4,1,12,3,1,2,0,0,45120,0,5640,39480,0,23,2011,1,0.0,0.1249972296713282,0.8749806076992974,-56100,0
127,29,2,1,2000,1326.44,5000000,0,2,11,2,3,0,0,0,0,2,1,4,0,12,2,1,1,1,0,66950,10300,10300,46350,10,2,1995,0,0.15384385595435468,0.15384385595435468,0.6922973517945961,0,0
61,23,0,1,2000,1136.83,4000000,0,0,12,8,3,0,-62400,2,2,0,3,1,1,14,1,0,0,3,0,98340,8940,17880,71520,6,6,2004,1,0.09090816648193531,0.18181633296387062,0.7272653318554825,-62400,1
207,42,0,1,2000,1322.78,0,1,6,4,19,3,55200,0,1,1,3,3,6,6,9,1,0,0,1,0,5900,590,590,4720,2,37,2007,0,0.09998305371970852,0.09998305371970852,0.7998644297576681,55200,0
219,43,1,0,1000,1483.25,0,0,4,3,8,1,90700,-20800,0,0,0,0,0,5,3,3,0,1,1,0,70680,5890,11780,53010,5,16,2009,0,0.08333215432718835,0.1666643086543767,0.7499893889446951,69900,1
271,42,0,0,500,1515.3,0,0,2,6,10,1,0,0,0,1,2,0,4,3,21,3,0,1,0,0,93720,17040,8520,68160,8,24,2005,0,0.1818162418241376,0.0909081209120688,0.7272649672965504,0,1
80,25,0,0,2000,1075.18,5000000,0,6,1,8,0,67700,-58400,3,1,1,3,2,4,5,1,0,2,0,1,6930,1260,630,5040,12,18,2001,0,0.18179194921367767,0.09089597460683883,0.7271677968547107,9300,0
325,47,1,2,1000,1690.27,0,0,0,10,10,1,61500,0,2,2,0,1,5,6,11,1,1,0,3,0,72930,6630,6630,59670,4,30,2006,1,0.09090784440087206,0.09090784440087206,0.8181705996078485,61500,1
29,25,0,1,2000,1352.83,0,1,5,4,16,3,0,-71700,0,1,1,2,4,2,4,4,1,1,2,1,64890,7210,7210,50470,9,29,2013,1,0.1111093988380515,0.1111093988380515,0.7777657918663605,-71700,0
295,48,2,1,1000,1148.73,0,0,1,6,11,5,0,0,1,1,3,3,6,1,6,1,0,1,2,1,5400,900,900,3600,10,3,1999,0,0.1666358081836697,0.1666358081836697,0.6665432327346787,0,0
239,42,0,0,1000,969.5,0,1,1,3,15,1,0,0,3,1,3,3,0,4,10,1,0,0,0,0,5600,700,700,4200,1,4,2007,0,0.1249776825566863,0.1249776825566863,0.7498660953401178,0,0
269,41,1,0,500,1463.82,0,0,1,10,19,1,0,-72300,2,1,1,3,4,3,23,1,1,0,0,0,79300,15860,15860,47580,10,1,2007,0,0.1999974779637079,0.1999974779637079,0.5999924338911237,-72300,1
80,27,0,0,1000,1474.17,0,0,1,12,8,4,0,0,2,2,0,3,6,3,13,1,1,1,0,1,52800,10560,5280,36960,10,3,2004,0,0.19999621219295088,0.09999810609647544,0.6999867426753281,0,0
279,41,0,1,500,1497.35,0,0,3,9,3,0,37300,-31700,0,0,1,1,0,4,16,3,0,2,3,0,28800,0,3600,25200,5,16,2013,0,0.0,0.12499565987292108,0.8749696191104476,5600,0
165,33,2,0,1000,1427.14,0,0,0,12,11,2,35300,-58100,1,1,1,3,6,3,3,1,0,1,1,0,2970,330,330,2310,12,18,2008,0,0.11107371255469539,0.11107371255469539,0.7775159878828677,-22800,0
350,54,2,2,500,1495.1,0,1,1,7,1,5,50500,0,0,2,2,3,4,3,15,3,0,0,0,0,93480,15580,7790,70110,3,25,2014,0,0.16666488377317315,0.08333244188658658,0.7499919769792792,50500,1
295,49,0,0,500,1141.62,0,1,1,9,11,0,34300,-24300,3,1,1,3,6,1,4,1,1,1,3,1,4320,480,480,3360,8,12,2002,0,0.111085396898866,0.111085396898866,0.777597778292062,10000,0
464,61,2,2,1000,1125.37,0,0,0,9,1,0,0,-56400,0,1,0,3,5,3,6,3,0,0,2,1,79800,6650,19950,53200,10,3,2000,1,0.08333228906905929,0.24999686720717784,0.6666583125524743,-56400,1
118,28,1,2,2000,1207.36,0,0,2,5,4,3,0,-57000,0,0,0,0,6,1,22,2,0,1,0,0,74200,7420,14840,51940,13,28,1997,0,0.09999865230926806,0.19999730461853613,0.6999905661648765,-57000,1
298,47,0,2,2000,1338.5,0,0,6,6,1,2,28800,0,2,0,0,1,1,4,1,1,0,0,0,0,70590,10860,10860,48870,10,2,2000,1,0.15384397444433426,0.15384397444433426,0.6922978849995042,28800,0
87,31,1,2,1000,1074.07,0,0,5,11,5,0,0,-47500,0,1,0,1,1,6,16,3,0,0,3,1,60940,5540,11080,44320,9,35,2006,1,0.0909075991532794,0.1818151983065588,0.7272607932262352,-47500,0
261,42,2,1,500,1337.56,0,0,1,9,18,4,0,0,2,1,1,3,4,5,18,1,0,1,2,1,74700,7470,14940,52290,4,30,2010,0,0.09999866132983494,0.19999732265966988,0.6999906293088446,0,1
453,60,1,0,500,1298.91,6000000,1,6,2,7,4,52600,-38800,2,0,0,1,0,6,0,1,1,0,0,0,70000,14000,7000,49000,5,14,2015,1,0.1999971428979586,0.0999985714489793,0.6999900001428551,13800,0
210,41,0,2,500,1222.75,0,1,2,3,14,2,0,-41000,0,1,2,2,6,1,12,3,0,2,0,0,81070,14740,14740,51590,2,37,2001,0,0.18181593911509664,0.18181593911509664,0.6363557869028382,-41000,1
168,32,1,0,1000,1059.52,0,1,4,10,4,3,0,-40600,0,2,0,2,5,2,13,2,0,1,1,0,57720,14430,9620,33670,10,2,2007,0,0.2499956688207065,0.16666377921380435,0.5833232272483152,-40600,0
390,51,2,1,2000,1124.38,0,1,0,1,15,2,0,0,3,1,1,3,5,4,9,1,1,1,1,1,7080,1180,1180,4720,5,14,2001,0,0.16664312950148283,0.16664312950148283,0.6665725180059313,0,0
258,46,1,0,1000,1110.37,10000000,1,4,6,10,2,34400,-56800,0,2,2,2,1,5,14,3,0,0,1,0,47700,4770,9540,33390,0,23,1997,1,0.09999790360789082,0.19999580721578164,0.6999853252552357,-22400,0
107,31,0,2,2000,1374.22,0,0,6,6,3,2,62000,-63100,2,1,1,3,4,2,16,1,0,0,3,0,51260,9320,9320,32620,11,21,2002,0,0.18181463490762959,0.18181463490762959,0.6363512221767036,-1100,0
225,41,2,2,2000,1103.58,0,1,2,3,8,4,41200,-36200,0,2,0,3,1,3,20,3,0,2,2,0,70400,6400,12800,51200,12,18,2011,1,0.09090779960511924,0.1818155992102385,0.727262396840954,5000,0
164,38,0,1,2000,1269.76,0,0,6,13,19,1,44300,0,2,1,1,1,1,2,4,1,0,1,3,1,90000,18000,9000,63000,5,16,2015,0,0.19999777780246886,0.09999888890123443,0.699992222308641,44300,1
245,39,2,1,500,964.79,8000000,0,0,0,4,0,58000,0,0,1,1,3,1,0,7,3,0,0,1,0,72820,13240,6620,52960,2,0,2010,0,0.18181568503590997,0.09090784251795499,0.7272627401436399,58000,1
255,41,0,2,2000,1167.3,4000000,1,2,8,2,2,0,0,2,2,1,1,4,2,22,1,0,2,0,0,69300,13860,13860,41580,13,28,2000,0,0.19999711403875847,0.19999711403875847,0.5999913421162754,0,0
206,36,0,2,500,1625.45,4000000,0,4,7,18,2,0,-53700,2,0,0,0,1,4,11,1,0,2,1,0,76560,12760,12760,51040,5,16,2008,1,0.16666448975326864,0.16666448975326864,0.6666579590130746,-53700,1
